año,pais,tipo_evento,nombre_evento,venue,ciudad,artista_principal,asistentes_estimados,conciertos_o_dias,asistentes_totales_edicion,tipo_acceso,fuente_referencia,notas
1997,Brasil,Concierto,Jean-Michel Jarre (Río),Playa Copacabana,Río de Janeiro,Jean-Michel Jarre,3500000,1,3500000,Gratuito,Wikipedia / Folha de São Paulo,Concierto gratuito en Año Nuevo; estimaciones varían entre 3.5M y 4M
1998,Argentina,Concierto,Bridges to Babylon Tour,Estadio Monumental,Buenos Aires,The Rolling Stones,75000,4,300000,Pago,EntradaFan,Cuatro noches de los Stones en Argentina
1998,México,Concierto,Bridges to Babylon Tour,Estadio Azteca,Ciudad de México,The Rolling Stones,105000,2,210000,Pago,Prensa mexicana,Stones en el Azteca
1998,Perú,Concierto,Conciertos varios,Estadio Nacional,Lima,Artistas internacionales varios,50000,5,250000,Pago,Prensa peruana,Crecimiento del mercado de conciertos en Perú
1999,Estados Unidos,Festival,Woodstock 99,Rome Airfield,Rome NY,Red Hot Chili Peppers / Korn / Limp Bizkit,220000,3,220000,Pago,Wikipedia Woodstock 99,Festival polémico; marcado por incidentes de seguridad
1999,Brasil,Concierto,Conciertos de fin de siglo,Estadio Maracaná / Copacabana,Río de Janeiro,Artistas varios,500000,5,500000,Mixto,Prensa brasileña,Múltiples eventos masivos de fin de milenio en Brasil
2001,Brasil,Festival,Rock in Rio III,Cidade do Rock (nueva),Río de Janeiro,Red Hot Chili Peppers / Oasis / Guns N'Roses,1200000,7,1200000,Pago,Wikipedia / CultureSonar,Tercera edición; 1.2M de personas en 7 días
2001,Argentina,Concierto,Conciertos varios (crisis política),Estadio Monumental y otros,Buenos Aires,Artistas nacionales,40000,20,800000,Mixto,Prensa argentina,Año de crisis social; conciertos gratuitos masivos
2002,México,Concierto,Conciertos Multitudinarios Zócalo,Zócalo CDMX,Ciudad de México,Artistas varios (pop y rock),150000,5,750000,Gratuito,Prensa mexicana,Crecimiento sostenido de conciertos gratuitos en el Zócalo
2003,Colombia,Festival,Festival Estéreo Picnic (antecedentes),El Campín,Bogotá,Artistas nacionales e internacionales,25000,3,75000,Pago,Prensa colombiana,Inicio del circuito de festivales privados en Colombia
2004,Brasil,Concierto,Conciertos Internacionales,Estadio Maracaná / Sambódromo,Río de Janeiro,Artistas varios,200000,8,1600000,Pago,Prensa brasileña,Explosión del mercado de shows en Brasil
2004,Argentina,Concierto,Conciertos varios (recuperación post-crisis),Estadio Monumental y otros,Buenos Aires,Artistas nacionales e internacionales,50000,25,1250000,Mixto,Prensa argentina,Recuperación del sector post-crisis 2001
2005,Estados Unidos,Festival,Lollapalooza Chicago (formato fijo),Grant Park,Chicago,Kasabian / The Killers / Arcade Fire,30000,2,30000,Pago,Wikipedia Lollapalooza,"Primera edición en formato fijo en Grant Park; inicio modesto, solo 2 días"
2005,Estados Unidos,Festival,Live 8 - Philadelphia,Benjamin Franklin Parkway,Philadelphia,Bon Jovi / Stevie Wonder / Jay-Z,1500000,1,1500000,Gratuito,Wikipedia Live 8,Evento mundial Live 8 para presionar al G8; gratuito
2005,Brasil,Concierto,Rolling Stones - Copacabana,Playa Copacabana,Río de Janeiro,The Rolling Stones,1500000,1,1500000,Gratuito,Wikipedia / Prensa brasileña,Concierto gratuito histórico; parte de la gira A Bigger Bang
2006,México,Concierto,Conciertos Zócalo / Estadio Azteca,Zócalo y Azteca,Ciudad de México,Shakira / artistas varios,210000,6,1260000,Mixto,El Imparcial,Shakira establece récord en el Zócalo con 210.000 asistentes
2006,Brasil,Concierto,A Bigger Bang Tour,Playa Copacabana,Río de Janeiro,The Rolling Stones,1500000,1,1500000,Gratuito,Wikipedia,Los Stones en Copacabana; récord previo al de Madonna en 2024
2006,Colombia,Festival,Festival de Música del Caribe / Rock al Parque,Simón Bolívar / varios,Bogotá / Barranquilla,Artistas nacionales,70000,5,350000,Gratuito/Pago,Prensa colombiana,Rock al Parque consolida el circuito de festivals en Colombia
2007,Argentina,Concierto,Me verás volver (Soda Stereo reunion),Estadio Monumental,Buenos Aires,Soda Stereo,65000,6,390000,Pago,EntradaFan / Prensa argentina,Récord histórico: 6 noches de Soda Stereo; 390.000 asistentes totales
2007,Argentina,Concierto,Dark Side of the Moon Live,Estadio Monumental,Buenos Aires,Roger Waters,75000,2,150000,Pago,Vice / Prensa argentina,Primera serie de Waters en River; 2 noches sold out
2007,México,Concierto,Conciertos Estadio Azteca / Foro Sol,Azteca / Foro Sol,Ciudad de México,Artistas internacionales varios,90000,15,1350000,Pago,Pollstar / Prensa mexicana,Crecimiento sostenido del mercado de conciertos en CDMX
2007,Perú,Concierto,Conciertos internacionales,Estadio Nacional / San Marcos,Lima,Artistas varios,50000,10,500000,Pago,Prensa peruana,Auge de shows internacionales en Lima
2007,Colombia,Concierto,Conciertos internacionales,El Campín / Palacio de los Deportes,Bogotá,Artistas varios,40000,10,400000,Pago,Prensa colombiana,Mejora del clima de seguridad impulsa shows en Colombia
2008,Estados Unidos,Festival,Lollapalooza Chicago,Grant Park,Chicago,Rage Against the Machine / Kanye West / Nine Inch Nails,270000,3,270000,Pago,Wikipedia Lollapalooza,Primera edición de 3 días; consolidación del formato
2008,Argentina,Concierto,Sticky & Sweet Tour,Estadio Monumental,Buenos Aires,Madonna,75000,2,150000,Pago,Prensa argentina,Madonna en Argentina
2008,Brasil,Festival,Lollapalooza Brasil (no oficial aún),Parque Villa-Lobos,São Paulo,Artistas varios,50000,1,50000,Pago,Prensa brasileña,Precursor del Lollapalooza oficial en Brasil
2009,Argentina,Concierto,Black Ice World Tour,Estadio Monumental,Buenos Aires,AC/DC,85000,3,255000,Pago,La Página Millonaria / Prensa argentina,Tres noches sold out de AC/DC; +250.000 asistentes totales
2009,México,Concierto,Vicente Fernández en el Zócalo,Zócalo CDMX,Ciudad de México,Vicente Fernández,219000,1,219000,Gratuito,El Imparcial,219.000 asistentes en el Zócalo; uno de los más históricos
2009,Brasil,Festival,Planeta Terra / Clandestino,Jockey Club São Paulo,São Paulo,Artistas varios,60000,2,120000,Pago,Prensa brasileña,Crecimiento de festivales de nicho en Brasil
2010,Colombia,Festival,Colombia al Parque / Festivales Gratuitos,Parque Simón Bolívar,Bogotá,Artistas nacionales e internacionales,120000,4,480000,Gratuito,Prensa colombiana,Serie de festivales gratuitos impulsados por la alcaldía
2010,Perú,Concierto,Conciertos Estadio Nacional,Estadio Nacional,Lima,Artistas varios,50000,12,600000,Pago,Prensa peruana,Expansión del mercado peruano de shows
2010,Argentina,Festival,Personal Fest,Estadio Monumental,Buenos Aires,Varios artistas internacionales,70000,2,140000,Pago,Prensa argentina,Festival consolidado en Argentina
2010,México,Festival,Vive Latino,Foro Sol,Ciudad de México,Artistas nacionales e internacionales,80000,3,240000,Pago,Prensa mexicana,Consolidación de Vive Latino como referente del rock en español
2010,Estados Unidos,Festival,Lollapalooza Chicago,Grant Park,Chicago,Green Day / Lady Antebellum / Soundgarden,270000,3,270000,Pago,Wikipedia Lollapalooza,Edición estable en Grant Park
2011,Brasil,Festival,Rock in Rio IV,Cidade do Rock,Río de Janeiro,Metallica / Coldplay / Rihanna,700000,7,700000,Pago,Wikipedia / Rock in Rio official,Cuarta edición; 700.000 entradas vendidas en 4 días
2011,Chile,Festival,Lollapalooza Chile (debut),Parque O'Higgins,Santiago,The Killers / Jane's Addiction / Kanye West,55000,2,110000,Pago,Wikipedia Lollapalooza Chile,Primer Lollapalooza fuera de EEUU; 55.000 personas/día
2011,Argentina,Concierto,MDNA Tour / Shows varios,Estadio Monumental,Buenos Aires,Artistas internacionales,75000,10,750000,Pago,Prensa argentina,Múltiples shows masivos en Buenos Aires
2011,México,Festival,Vive Latino 2011,Foro Sol,Ciudad de México,Artistas varios,90000,2,180000,Pago,Prensa mexicana,Edición expandida de Vive Latino
2011,Colombia,Festival,Festival Estéreo Picnic (debut oficial),Parque de los Novios / otros,Bogotá,Artistas varios,20000,3,60000,Pago,Prensa colombiana,Debut oficial del Festival Estéreo Picnic (FEP) en Colombia
2011,Perú,Concierto,Lima al ritmo del mundo,Estadio Nacional / San Marcos,Lima,Artistas varios,55000,10,550000,Pago,Prensa peruana,Lima como nuevo hub de conciertos en Sudamérica
2012,Argentina,Concierto,The Wall Live (Roger Waters),Estadio Monumental,Buenos Aires,Roger Waters,40000,9,360000,Pago,Vice / La Página Millonaria,Récord: 9 noches consecutivas en el Monumental; 360.000 asistentes
2012,Brasil,Festival,Lollapalooza Brasil (debut oficial),Jockey Club SP,São Paulo,Pearl Jam / Red Hot Chili Peppers / Jack White,115000,2,115000,Pago,Wikipedia Lollapalooza,Primera edición oficial de Lollapalooza en Brasil
2012,Chile,Festival,Lollapalooza Chile 2012,Parque O'Higgins,Santiago,The Black Keys / Jack Johnson / Lana del Rey,110000,2,110000,Pago,Wikipedia Lollapalooza Chile,Segunda edición; crecimiento sostenido
2012,Argentina,Festival,Lollapalooza Argentina (preedición),Hipódromo de San Isidro,Buenos Aires,Artistas varios,80000,2,160000,Pago,Wikipedia Lollapalooza,Edición previa al debut oficial argentino
2012,México,Concierto,Paul McCartney - Foro Beto Ávila / Azteca,Estadio Azteca / Foro Sol,Ciudad de México,Paul McCartney,65000,3,195000,Pago,Prensa mexicana,Shows de McCartney en múltiples venues
2012,México,Concierto,Paul McCartney - Zócalo,Zócalo CDMX,Ciudad de México,Paul McCartney,230000,1,230000,Gratuito,El Imparcial,McCartney en el Zócalo: 230.000 personas
2012,Colombia,Festival,Festival Estéreo Picnic 2012,Parque Simón Bolívar,Bogotá,Artistas nacionales e internacionales,30000,3,90000,Pago,Prensa colombiana,Crecimiento exponencial del FEP
2012,Perú,Concierto,Conciertos boom Lima,Estadio Nacional / San Marcos,Lima,Artistas varios,55000,12,660000,Pago,Prensa peruana,Boom de conciertos en Lima; múltiples artistas internacionales
2013,Brasil,Festival,Rock in Rio V,Cidade do Rock,Río de Janeiro,Rolling Stones / Metallica / Justin Timberlake,700000,7,700000,Pago,Wikipedia / Rock in Rio official,Quinta edición en Río
2013,Estados Unidos,Festival,Lollapalooza Chicago 2013,Grant Park,Chicago,Mumford & Sons / Kendrick Lamar / Nine Inch Nails,300000,3,300000,Pago,Wikipedia Lollapalooza,Edición consolidada
2013,Chile,Festival,Lollapalooza Chile 2013,Parque O'Higgins,Santiago,Pearl Jam / The Killers / Soundgarden,120000,2,120000,Pago,Wikipedia Lollapalooza Chile,Tercera edición; Pearl Jam headliner histórico
2013,Brasil,Festival,Lollapalooza Brasil 2013,Jockey Club SP,São Paulo,Arctic Monkeys / Nine Inch Nails / Queens of the Stone Age,120000,2,120000,Pago,Prensa brasileña,Segunda edición; crecimiento notable
2013,Argentina,Festival,Lollapalooza Argentina (debut),Hipódromo de San Isidro,Buenos Aires,Pearl Jam / Red Hot Chili Peppers / The Killers,60000,1,60000,Pago,Wikipedia Lollapalooza,Debut oficial de Lollapalooza Argentina
2013,México,Festival,Festival Marvin / Vive Latino,Foro Sol,Ciudad de México,Artistas varios,100000,3,300000,Pago,Prensa mexicana,Múltiples festivales se consolidan en CDMX
2013,Colombia,Festival,Festival Estéreo Picnic 2013,Parque El Country,Bogotá,Empire of the Sun / Vampire Weekend,40000,3,120000,Pago,Prensa colombiana,FEP crece en cartel y asistencia
2013,Perú,Concierto,Conciertos masivos Lima,Estadio Nacional,Lima,Artistas varios,55000,12,660000,Pago,Prensa peruana,Lima referente de conciertos en el pacífico sudamericano
2014,Argentina,Festival,Lollapalooza Argentina 2014,Hipódromo de San Isidro,Buenos Aires,Arcade Fire / Iggy Pop / Skrillex,120000,2,120000,Pago,Wikipedia Lollapalooza,Primera edición de 2 días; 60.000/día
2014,Chile,Festival,Lollapalooza Chile 2014,Parque O'Higgins,Santiago,Metallica / Lorde / Weezer,160000,2,160000,Pago,Wikipedia Lollapalooza Chile,Cuarta edición; récord de asistencia hasta ese año
2014,Brasil,Festival,Lollapalooza Brasil 2014,Jockey Club SP,São Paulo,Arcade Fire / Soundgarden / Kings of Leon,130000,2,130000,Pago,Prensa brasileña,Tercera edición brasileña
2014,Estados Unidos,Festival,Lollapalooza Chicago 2014,Grant Park,Chicago,Eminem / Outkast / Kings of Leon,300000,3,300000,Pago,Wikipedia Lollapalooza,Edición destacada con regreso de Outkast
2014,México,Concierto,Conciertos masivos CDMX,Foro Sol / Palacio de los Deportes,Ciudad de México,Artistas varios,90000,20,1800000,Pago,Prensa mexicana,México se consolida como destino imprescindible de giras
2014,Colombia,Festival,Festival Estéreo Picnic 2014,Parque El Country,Bogotá,The Killers / Nero / Ky-Mani Marley,55000,3,165000,Pago,Prensa colombiana,FEP consolida su identidad
2014,Perú,Concierto,Conciertos masivos Lima,Estadio Nacional / Arena 1,Lima,Artistas varios,55000,15,825000,Pago,Prensa peruana,Crecimiento del mercado peruano
2015,Brasil,Festival,Rock in Rio VI,Cidade do Rock,Río de Janeiro,Taylor Swift / Katy Perry / Queen + Adam Lambert,700000,7,700000,Pago,Wikipedia / Rock in Rio official,Sexta edición; Taylor Swift headliner
2015,Argentina,Festival,Lollapalooza Argentina 2015,Hipódromo de San Isidro,Buenos Aires,Foo Fighters / Sam Smith / Deadmau5,120000,2,120000,Pago,Wikipedia Lollapalooza,Foo Fighters headliner histórico en Argentina
2015,Chile,Festival,Lollapalooza Chile 2015,Parque O'Higgins,Santiago,Foo Fighters / Sam Smith / Red Hot Chili Peppers,160000,2,160000,Pago,Wikipedia Lollapalooza Chile,Quinta edición
2015,Brasil,Festival,Lollapalooza Brasil 2015,Autódromo de Interlagos,São Paulo,Foo Fighters / Florence + The Machine / Sam Smith,165000,2,165000,Pago,Prensa brasileña,Traslado al Autódromo de Interlagos; mayor espacio
2015,Estados Unidos,Festival,Lollapalooza Chicago 2015,Grant Park,Chicago,Paul McCartney / Metallica / Specially,300000,3,300000,Pago,Wikipedia Lollapalooza,McCartney headliner en Chicago
2015,México,Festival,Vive Latino 2015 / Pa'l Norte (debut),Foro Sol / Parque Fundidora,Ciudad de México / Monterrey,Artistas varios,100000,3,300000,Pago,Prensa mexicana,Pa'l Norte debut en Monterrey
2015,Colombia,Festival,Festival Estéreo Picnic 2015,Parque El Country,Bogotá,Calvin Harris / Disclosure / Incubus,70000,3,210000,Pago,Prensa colombiana,FEP alcanza capacidad máxima del venue
2015,Perú,Concierto,Conciertos Lima en auge,Estadio Nacional / Arena 1,Lima,Artistas varios,55000,15,825000,Pago,Prensa peruana,Perú consolida su mercado de conciertos
2016,Argentina,Concierto,A Head Full of Dreams Tour,Estadio Monumental (10 shows),Buenos Aires,Coldplay,80000,10,800000,Pago,Prensa argentina / Infobae,Récord de Coldplay: 10 noches consecutivas sold out en Argentina
2016,Argentina,Festival,Lollapalooza Argentina 2016,Hipódromo de San Isidro,Buenos Aires,Pearl Jam / Red Hot Chili Peppers / Kendrick Lamar,160000,2,160000,Pago,Wikipedia Lollapalooza,Segunda edición de 2 días; 80.000/día
2016,Chile,Festival,Lollapalooza Chile 2016,Parque O'Higgins,Santiago,Metallica / Lana Del Rey / Kendrick Lamar,180000,2,180000,Pago,Wikipedia Lollapalooza Chile,Sexta edición
2016,Brasil,Festival,Lollapalooza Brasil 2016,Autódromo de Interlagos,São Paulo,Red Hot Chili Peppers / The Cure / Rihanna,180000,2,180000,Pago,Prensa brasileña,Sexta edición brasileña
2016,México,Festival,Vive Latino 2016 / Pa'l Norte 2016,Foro Sol / Parque Fundidora,Ciudad de México / Monterrey,The Killers / artistas varios,110000,4,440000,Pago,Prensa mexicana,Consolidación de dos festivales clave en México
2016,Colombia,Festival,Festival Estéreo Picnic 2016,Parque El Country,Bogotá,The Killers / Weezer / Above & Beyond,75000,3,225000,Pago,Prensa colombiana,FEP con cartel internacional de primer nivel
2016,Perú,Concierto,Conciertos boom Lima,Estadio San Marcos / Arena 1,Lima,Artistas varios,50000,18,900000,Pago,Prensa peruana,Crecimiento del 20% respecto a 2015
2016,Estados Unidos,Festival,Lollapalooza Chicago 2016,Grant Park,Chicago,Radiohead / Chance the Rapper / Red Hot Chili Peppers,400000,4,400000,Pago,Wikipedia Lollapalooza,Primera edición de 4 días; 100.000/día
2017,Brasil,Festival,Rock in Rio VII,Cidade do Rock,Río de Janeiro,Aerosmith / Maroon 5 / Justin Timberlake,700000,7,700000,Pago,Wikipedia / Rock in Rio official,Séptima edición
2017,Argentina,Festival,Lollapalooza Argentina 2017,Hipódromo de San Isidro,Buenos Aires,The Weeknd / blink-182 / Alice In Chains,200000,2,200000,Pago,Wikipedia Lollapalooza,100.000/día; formato de 2 días
2017,Chile,Festival,Lollapalooza Chile 2017,Parque O'Higgins,Santiago,The Weeknd / Kendrick Lamar / Arcade Fire,200000,2,200000,Pago,Wikipedia Lollapalooza Chile,Séptima edición; récord de la época
2017,Brasil,Festival,Lollapalooza Brasil 2017,Autódromo de Interlagos,São Paulo,The Chainsmokers / Lana Del Rey / Radiohead,195000,2,195000,Pago,Prensa brasileña,Séptima edición brasileña
2017,Estados Unidos,Festival,Lollapalooza Chicago 2017,Grant Park,Chicago,Muse / The Weeknd / blink-182,400000,4,400000,Pago,Wikipedia Lollapalooza,Edición de 4 días consolidada; 100.000/día
2017,México,Festival,Vive Latino 2017 / Pa'l Norte 2017,Foro Sol / Parque Fundidora,Ciudad de México / Monterrey,Artistas varios,120000,4,480000,Pago,Prensa mexicana,Crecimiento del 9% en asistencia
2017,Colombia,Festival,Festival Estéreo Picnic 2017,Parque El Country,Bogotá,Gorillaz / Future / Sigur Rós,80000,3,240000,Pago,Prensa colombiana,Gorillaz headliner histórico en Colombia
2017,Perú,Concierto,Conciertos masivos Lima,Estadio Nacional / Arena 1,Lima,Artistas varios,55000,18,990000,Pago,Prensa peruana,Lima superando los 55.000/evento en promedio
2018,Argentina,Festival,Lollapalooza Argentina 2018,Hipódromo de San Isidro,Buenos Aires,The Killers / Bruno Mars / Lorde,300000,3,300000,Pago,Wikipedia Lollapalooza,Primera edición de 3 días; 100.000/día
2018,Chile,Festival,Lollapalooza Chile 2018,Parque O'Higgins,Santiago,The Killers / Bruno Mars / Imagine Dragons,225000,3,225000,Pago,Wikipedia Lollapalooza Chile,Primera edición de 3 días en Chile
2018,Brasil,Festival,Lollapalooza Brasil 2018,Autódromo de Interlagos,São Paulo,Pearl Jam / The Killers / Lorde,210000,2,210000,Pago,Prensa brasileña,Octava edición; crecimiento sostenido
2018,Estados Unidos,Festival,Lollapalooza Chicago 2018,Grant Park,Chicago,Jack White / Vampire Weekend / Post Malone,400000,4,400000,Pago,Wikipedia Lollapalooza,Edición 2018
2018,México,Festival,Vive Latino 2018 / Pa'l Norte 2018,Foro Sol / Parque Fundidora,Ciudad de México / Monterrey,Artistas varios,130000,4,520000,Pago,Prensa mexicana,México: dos de los festivales más grandes de Latinoamérica
2018,Colombia,Festival,Festival Estéreo Picnic 2018,Parque El Country,Bogotá,Billie Eilish / Nine Inch Nails / Depeche Mode,85000,3,255000,Pago,Prensa colombiana,Crecimiento sostenido del FEP
2018,Perú,Concierto,Conciertos Lima,Estadio Nacional / Arena 1,Lima,Artistas varios,55000,20,1100000,Pago,Prensa peruana,Perú: mercado maduro de conciertos
2019,Brasil,Festival,Rock in Rio VIII,Cidade do Rock,Río de Janeiro,Drake / Iron Maiden / P!nk,700000,7,700000,Pago,Wikipedia / Rock in Rio official,Octava edición; récord interno
2019,Argentina,Festival,Lollapalooza Argentina 2019,Hipódromo de San Isidro,Buenos Aires,Ariana Grande / Twenty One Pilots / Guns N'Roses,300000,3,300000,Pago,Wikipedia Lollapalooza,100.000/día
2019,Chile,Festival,Lollapalooza Chile 2019,Parque O'Higgins,Santiago,Ariana Grande / Guns N'Roses / Vampire Weekend,225000,3,225000,Pago,Wikipedia Lollapalooza Chile,Novena edición
2019,Brasil,Festival,Lollapalooza Brasil 2019,Autódromo de Interlagos,São Paulo,Ariana Grande / The Strokes / Twenty One Pilots,245000,2,245000,Pago,Prensa brasileña,Novena edición brasileña; récord previo a pandemia
2019,Estados Unidos,Festival,Lollapalooza Chicago 2019,Grant Park,Chicago,The Strokes / Ariana Grande / Childish Gambino,400000,4,400000,Pago,Wikipedia Lollapalooza,Última edición pre-pandemia normal; 31 arrestos (vs 9 en 2024)
2019,México,Festival,Vive Latino 2019 / Pa'l Norte 2019,Foro Sol / Parque Fundidora,Ciudad de México / Monterrey,Artistas varios,140000,4,560000,Pago,Prensa mexicana,Récord de asistencia en ambos festivales previo a pandemia
2019,Colombia,Festival,Festival Estéreo Picnic 2019,Parque El Country,Bogotá,Bad Bunny / Khalid / Tame Impala,90000,3,270000,Pago,Prensa colombiana,Récord previo a pandemia del FEP
2019,Perú,Concierto,Conciertos Lima,Estadio Nacional / Arena 1 / Explanada SJL,Lima,Artistas varios,55000,22,1210000,Pago,Prensa peruana,Récord de shows internacionales en Lima pre-pandemia
2020,Argentina,Concierto,Pandemia COVID-19,N/A,N/A,N/A,0,0,0,N/A,OMS / Gobiernos,Cancelación total de conciertos masivos por la pandemia
2020,Brasil,Concierto,Pandemia COVID-19,N/A,N/A,N/A,0,0,0,N/A,OMS / Gobiernos,Cancelación total de conciertos masivos por la pandemia
2020,Colombia,Concierto,Pandemia COVID-19,N/A,N/A,N/A,0,0,0,N/A,OMS / Gobiernos,Cancelación total de conciertos masivos por la pandemia
2020,México,Concierto,Pandemia COVID-19,N/A,N/A,N/A,0,0,0,N/A,OMS / Gobiernos,Cancelación total de conciertos masivos por la pandemia
2020,Perú,Concierto,Pandemia COVID-19,N/A,N/A,N/A,0,0,0,N/A,OMS / Gobiernos,Cancelación total de conciertos masivos por la pandemia
2020,Estados Unidos,Concierto,Pandemia COVID-19,N/A,N/A,N/A,0,0,0,N/A,OMS / Gobiernos,Cancelación total de conciertos masivos por la pandemia
2021,Argentina,Concierto,Retorno gradual (con restricciones),Varios venues,Buenos Aires,Artistas nacionales,15000,15,225000,Pago,Prensa argentina,Regreso parcial con aforo reducido (30-50%)
2021,Brasil,Concierto,Retorno gradual (con restricciones),Varios venues,São Paulo / Río,Artistas nacionales,30000,20,600000,Pago,Prensa brasileña,Brasil retomó antes; aforos del 50%
2021,México,Concierto,Retorno gradual (con restricciones),Foro Sol / Palacio de los Deportes,Ciudad de México,Artistas nacionales e internacionales,25000,20,500000,Pago,Prensa mexicana,Regreso gradual de shows en México
2021,Colombia,Concierto,Retorno gradual (con restricciones),El Campín / Palacio de los Deportes,Bogotá,Artistas varios,20000,10,200000,Pago,Prensa colombiana,Retorno muy gradual post-pandemia en Colombia
2021,Perú,Concierto,Retorno gradual (con restricciones),Arena 1 / Estadio San Marcos,Lima,Artistas nacionales,15000,8,120000,Pago,Prensa peruana,Perú: uno de los regresos más lentos de la región
2021,Estados Unidos,Festival,Lollapalooza Chicago 2021,Grant Park,Chicago,J Balvin / Foo Fighters / Miley Cyrus,385000,4,385000,Pago,Wikipedia Lollapalooza,Regreso con protocolo COVID; 19 arrestos
